version,release_date,features
v2.6.12,2005-06-18,3454
v2.6.13,2005-08-28,3555
v2.6.14,2005-10-27,3660
v2.6.15,2006-01-02,3745
v2.6.16,2006-03-20,3830
v2.6.17,2006-06-17,3899
v2.6.18,2006-09-20,4080
v2.6.19,2006-11-29,4265
v2.6.20,2007-02-04,4328
v2.6.21,2007-04-25,4436
v2.6.22,2007-07-08,4620
v2.6.23,2007-10-09,4772
v2.6.24,2008-01-24,5064
v2.6.25,2008-04-16,5260
v2.6.26,2008-07-13,5441
v2.6.27,2008-10-09,5603
v2.6.28,2008-12-24,5857
v2.6.29,2009-03-23,6148
v2.6.30,2009-06-09,6351
v2.6.31,2009-09-09,6581
v2.6.32,2009-12-02,6841
v2.6.33,2010-02-24,7101
v2.6.34,2010-05-16,7240
v2.6.35,2010-08-01,7578
v2.6.36,2010-10-20,7766
v2.6.37,2011-01-04,8021
v2.6.38,2011-03-14,8203
v2.6.39,2011-05-18,8392
v3.0,2011-07-21,8517
v3.1,2011-10-24,8590
v3.2,2012-01-04,8710
v3.3,2012-03-18,8827
v3.4,2012-05-20,8966
v3.5,2012-07-21,9158
v3.6,2012-09-30,9314
v3.7,2012-10-10,9480
v3.8,2013-02-18,9607
v3.9,2013-04-28,9802
v3.10,2013-06-30,9874
v3.11,2013-09-02,10059
v3.12,2013-11-03,10138
v3.13,2014-01-19,10295
v3.14,2014-03-30,10441
v3.15,2014-06-08,10594
v3.16,2014-08-03,10748
v3.17,2014-10-05,10851
v3.18,2014-12-07,11018
v3.19,2015-02-08,11129
v4.0,2015-04-12,11292
v4.1,2015-06-22,11441
v4.2,2015-08-30,11675
v4.3,2015-11-01,11830
v4.4,2016-01-10,11988
v4.5,2016-03-13,12204
v4.6,2016-05-15,12387
v4.7,2016-07-24,12518
v4.8,2016-09-25,12702
v4.9,2016-12-11,12884
v4.10,2017-02-19,13073
v4.11,2017-04-30,13245
v4.12,2017-07-02,13484
v4.13,2017-09-03,13671
v4.14,2017-11-12,13833
v4.15,2018-01-28,13909
v4.16,2018-04-01,14017
v4.17,2018-06-03,13935
v4.18,2018-08-12,14049