version,release_date,products_log10,time_in_ms
v2.6.12,2005-06-18,940.89,331
v2.6.13,2005-08-28,976.24,338
v2.6.14,2005-10-27,1003.88,391
v2.6.15,2006-01-02,1027.30,185
v2.6.16,2006-03-20,1056.18,144
v2.6.17,2006-06-17,1075.70,290
v2.6.18,2006-09-20,1135.16,303
v2.6.19,2006-11-29,1230.70,434
v2.6.20,2007-02-04,1253.17,396
v2.6.21,2007-04-25,1283.01,178
v2.6.22,2007-07-08,1346.89,390
v2.6.23,2007-10-09,1387.37,861
v2.6.24,2008-01-24,1510.64,1024
v2.6.25,2008-04-16,1569.17,805
v2.6.26,2008-07-13,1625.00,1098
v2.6.27,2008-10-09,1678.96,2140
v2.6.28,2008-12-24,1767.24,3654
v2.6.29,2009-03-23,1846.59,4882
v2.6.30,2009-06-09,1903.48,1435
v2.6.31,2009-09-09,1964.12,1110
v2.6.32,2009-12-02,2031.85,1624
v2.6.33,2010-02-24,2110.21,3251
v2.6.34,2010-05-16,2154.13,1695
v2.6.35,2010-08-01,2268.33,1463
v2.6.36,2010-10-20,2814.84,2177
v2.6.37,2011-01-04,2895.49,6100
v2.6.38,2011-03-14,2960.96,10882
v2.6.39,2011-05-18,3027.94,5062
v3.0,2011-07-21,3069.90,17698
v3.1,2011-10-24,3083.33,25327
v3.2,2012-01-04,3149.76,6342
v3.3,2012-03-18,3208.69,7133
v3.4,2012-05-20,3263.86,5052
v3.5,2012-07-21,3334.46,5068
v3.6,2012-09-30,3397.81,7631
v3.7,2012-10-10,3464.16,87328
v3.8,2013-02-18,3509.47,16168
v3.9,2013-04-28,3580.91,27976
v3.10,2013-06-30,3631.11,27109
v3.11,2013-09-02,3705.00,17187
v3.12,2013-11-03,3756.59,21996
v3.13,2014-01-19,3807.86,15210
v3.14,2014-03-30,3879.50,115867
v3.15,2014-06-08,3962.42,404026
v3.16,2014-08-03,4021.65,61838
v3.17,2014-10-05,4068.50,26870
v3.18,2014-12-07,4139.84,244166
v3.19,2015-02-08,4203.48,442804
v4.0,2015-04-12,4289.37,748797
v4.1,2015-06-22,0,0
v4.2,2015-08-30,0,0
v4.3,2015-11-01,0,0
v4.4,2016-01-10,4642.96,168322
v4.5,2016-03-13,0,0
v4.6,2016-05-15,4861.44,2365859
v4.7,2016-07-24,0,0
v4.8,2016-09-25,0,0
v4.9,2016-12-11,0,0
v4.10,2017-02-19,0,0
v4.11,2017-04-30,0,0
v4.12,2017-07-02,0,0
v4.13,2017-09-03,0,0
v4.14,2017-11-12,0,0
v4.15,2018-01-28,0,0
v4.16,2018-04-01,0,0
v4.17,2018-06-03,0,0
v4.18,2018-08-12,0,0
v4.19,2018-10-22,0,0
v4.20,2018-12-23,0,0
v5.0,2019-03-03,0,0
v5.1,2019-05-05,0,0
v5.2,2019-07-07,0,0
v5.3,2019-09-15,0,0
v5.4,2019-11-24,0,0
v5.5,2020-01-26,0,0
v5.6,2020-03-29,0,0
v5.7,2020-05-31,0,0
v5.8,2020-08-02,0,0
v5.9,2020-10-11,0,0
v5.10,2020-12-13,0,0
v5.11,2021-02-14,0,0
v5.12,2021-04-25,0,0
v5.13,2021-06-27,0,0
v5.14,2021-08-29,0,0
v5.15,2021-10-31,0,0
v5.16,2022-01-09,0,0
v5.17,2022-03-20,0,0
v5.18,2022-05-22,0,0
v5.19,2022-07-31,0,0